
These predictions were generated by SubDyn on 22-Sep-2013 at 10:24:36.

    Time	   ReactXss	   ReactYss	   ReactZss	  ReactMXss	  ReactMYss	  ReactMZss	    IntfXss	    IntfYss	    IntfZss	   IntfMXss	   IntfMYss	   IntfMZss	  IntfTDXss	  IntfTDYss	  IntfTDZss	  IntfRDXss	  IntfRDYss	  IntfRDZss	  IntfTAXss	  IntfTAYss	  IntfTAZss	  IntfRAXss	  IntfRAYss	  IntfRAZss	   M1J1FKxe	   M1J1FKye	   M1J1FKze	   M1J1MKxe	   M1J1MKye	   M1J1MKze	   M1J1FMxe	   M1J1FMye	   M1J1FMze	   M1J1MMxe	   M1J1MMye	   M1J1MMze	   M1J2FKxe	   M1J2FKye	   M1J2FKze	   M1J2MKxe	   M1J2MKye	   M1J2MKze	   M1J2FMxe	   M1J2FMye	   M1J2FMze	   M1J2MMxe	   M1J2MMye	   M1J2MMze	   M2J1FKxe	   M2J1FKye	   M2J1FKze	   M2J1MKxe	   M2J1MKye	   M2J1MKze	   M2J1FMxe	   M2J1FMye	   M2J1FMze	   M2J1MMxe	   M2J1MMye	   M2J1MMze	   M2J2FKxe	   M2J2FKye	   M2J2FKze	   M2J2MKxe	   M2J2MKye	   M2J2MKze	   M2J2FMxe	   M2J2FMye	   M2J2FMze	   M2J2MMxe	   M2J2MMye	   M2J2MMze

       s	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	       (Nm)	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	       (Nm)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	    (m/s^2)	    (m/s^2)	    (m/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)

   0.000	-1.5664E+03	 0.0000E+00	 8.2320E+04	 0.0000E+00	-8.7110E+03	 0.0000E+00	-9.7069E+02	 0.0000E+00	 1.3030E+05	 0.0000E+00	-6.1345E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.4273E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.5664E+03	 0.0000E+00	 6.0410E+04	 0.0000E+00	 8.7110E+03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.4273E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.7951E+03	 0.0000E+00	-1.4805E+05	 0.0000E+00	 3.1117E+04	 0.0000E+00	 0.0000E+00	 2.2116E+05	 0.0000E+00	-9.2149E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.1584E+05	-6.7951E+03	 8.9037E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2116E+05	 0.0000E+00	-9.2149E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 9.0856E+04	-9.7072E+02	 5.4092E+05	 0.0000E+00	 0.0000E+00
   0.001	-9.6635E+02	 0.0000E+00	 1.1323E+05	 0.0000E+00	-5.3584E+03	 0.0000E+00	-4.9923E+03	 0.0000E+00	 1.4330E+05	 0.0000E+00	-6.6566E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.4469E+00	 0.0000E+00	-1.4937E+05	 0.0000E+00	-1.0290E+01	 0.0000E+00	 9.6780E+02	 0.0000E+00	 3.6141E+04	 0.0000E+00	 5.3687E+03	 0.0000E+00	-8.3761E+00	 0.0000E+00	 1.4381E+05	 0.0000E+00	 1.2434E+02	 0.0000E+00	-8.2917E+03	 0.0000E+00	-1.1643E+05	 0.0000E+00	 3.5985E+04	 0.0000E+00	 0.0000E+00	 2.2113E+05	-4.1706E+02	-9.2124E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.0200E+05	-2.7475E+03	 8.4621E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2120E+05	 5.8043E+01	-9.2191E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 8.5308E+04	 2.9719E+02	 5.0878E+05	 0.0000E+00	 0.0000E+00
   0.002	-8.9739E+02	 0.0000E+00	 1.4394E+05	 0.0000E+00	-4.9596E+03	 0.0000E+00	-1.0007E+04	 0.0000E+00	 1.5558E+05	 0.0000E+00	-7.1479E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-5.1340E+00	 0.0000E+00	-1.6553E+05	 0.0000E+00	-3.6433E+01	 0.0000E+00	 9.0252E+02	 0.0000E+00	 2.1594E+04	 0.0000E+00	 4.9960E+03	 0.0000E+00	-3.1631E+01	 0.0000E+00	 1.4410E+05	 0.0000E+00	 4.7157E+02	 0.0000E+00	-1.1465E+04	 0.0000E+00	-8.7179E+04	 0.0000E+00	 4.9707E+04	 0.0000E+00	 0.0000E+00	 2.2108E+05	-1.1162E+03	-9.2060E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.8401E+05	-1.9197E+03	 7.9517E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2131E+05	 5.1343E+01	-9.2313E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 8.0260E+04	 6.3355E+02	 4.7948E+05	 0.0000E+00	 0.0000E+00
   0.003	-9.9561E+02	 0.0000E+00	 1.7481E+05	 0.0000E+00	-5.4919E+03	 0.0000E+00	-1.5102E+04	 0.0000E+00	 1.6721E+05	 0.0000E+00	-7.6118E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0892E+01	 0.0000E+00	-1.8738E+05	 0.0000E+00	-7.7144E+01	 0.0000E+00	 1.0065E+03	 0.0000E+00	 1.2577E+04	 0.0000E+00	 5.5690E+03	 0.0000E+00	-7.1513E+01	 0.0000E+00	 1.4160E+05	 0.0000E+00	 1.0716E+03	 0.0000E+00	-1.5008E+04	 0.0000E+00	-6.1941E+04	 0.0000E+00	 6.5573E+04	 0.0000E+00	 0.0000E+00	 2.2099E+05	-1.8283E+03	-9.1965E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.6554E+05	-2.1631E+03	 7.4378E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2149E+05	-1.1626E+02	-9.2510E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 7.5643E+04	 6.6677E+02	 4.5264E+05	 0.0000E+00	 0.0000E+00
   0.004	-1.0934E+03	 0.0000E+00	 2.0578E+05	 0.0000E+00	-6.0232E+03	 0.0000E+00	-1.9943E+04	 0.0000E+00	 1.7826E+05	 0.0000E+00	-8.0506E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.8943E+01	 0.0000E+00	-2.1255E+05	 0.0000E+00	-1.3395E+02	 0.0000E+00	 1.1123E+03	 0.0000E+00	 6.7692E+03	 0.0000E+00	 6.1572E+03	 0.0000E+00	-1.3184E+02	 0.0000E+00	 1.3601E+05	 0.0000E+00	 1.9854E+03	 0.0000E+00	-1.8262E+04	 0.0000E+00	-4.1081E+04	 0.0000E+00	 8.0344E+04	 0.0000E+00	 0.0000E+00	 2.2089E+05	-2.5604E+03	-9.1842E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.4830E+05	-2.5659E+03	 6.9525E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2173E+05	-4.5624E+02	-9.2776E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 7.1417E+04	 6.2778E+02	 4.2805E+05	 0.0000E+00	 0.0000E+00
   0.005	-1.1260E+03	 0.0000E+00	 2.3661E+05	 0.0000E+00	-6.1937E+03	 0.0000E+00	-2.4426E+04	 0.0000E+00	 1.8876E+05	 0.0000E+00	-8.4663E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.9510E+01	 0.0000E+00	-2.3949E+05	 0.0000E+00	-2.0846E+02	 0.0000E+00	 1.1555E+03	 0.0000E+00	 2.8807E+03	 0.0000E+00	 6.4022E+03	 0.0000E+00	-2.1632E+02	 0.0000E+00	 1.2775E+05	 0.0000E+00	 3.2723E+03	 0.0000E+00	-2.0947E+04	 0.0000E+00	-2.4346E+04	 0.0000E+00	 9.2681E+04	 0.0000E+00	 0.0000E+00	 2.2077E+05	-3.3770E+03	-9.1695E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.3298E+05	-2.8015E+03	 6.5095E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2203E+05	-9.5902E+02	-9.3106E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 6.7552E+04	 5.8445E+02	 4.0552E+05	 0.0000E+00	 0.0000E+00
   0.006	-1.0799E+03	 0.0000E+00	 2.6702E+05	 0.0000E+00	-5.9281E+03	 0.0000E+00	-2.8533E+04	 0.0000E+00	 1.9875E+05	 0.0000E+00	-8.8604E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.2673E+01	 0.0000E+00	-2.6721E+05	 0.0000E+00	-3.0126E+02	 0.0000E+00	 1.1225E+03	 0.0000E+00	 1.9188E+02	 0.0000E+00	 6.2294E+03	 0.0000E+00	-3.2763E+02	 0.0000E+00	 1.1746E+05	 0.0000E+00	 4.9765E+03	 0.0000E+00	-2.2989E+04	 0.0000E+00	-1.1237E+04	 0.0000E+00	 1.0224E+05	 0.0000E+00	 0.0000E+00	 2.2064E+05	-4.3255E+03	-9.1527E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1975E+05	-2.8020E+03	 6.1123E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2238E+05	-1.6132E+03	-9.3496E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 6.4020E+04	 5.4614E+02	 3.8491E+05	 0.0000E+00	 0.0000E+00
