
These predictions were generated by SubDyn on 07-Aug-2013 at 14:23:23.

    Time	   ReactXss	   ReactYss	   ReactZss	  ReactMXss	  ReactMYss	  ReactMZss	    IntfXss	    IntfYss	    IntfZss	   IntfMXss	   IntfMYss	   IntfMZss	  IntfTDXss	  IntfTDYss	  IntfTDZss	  IntfRDXss	  IntfRDYss	  IntfRDZss	  IntfTAXss	  IntfTAYss	  IntfTAZss	  IntfRAXss	  IntfRAYss	  IntfRAZss	   M1N1FKze	   M1N1MKxe	   M1N1MKye	     SSqm01	     SSqm02	     SSqm03	    SSqmd01	    SSqmd02	    SSqmd03	   SSqmdd01	   SSqmdd02	   SSqmdd03	   M1J1FKxe	   M1J1FKye	   M1J1FKze	   M1J1MKxe	   M1J1MKye	   M1J1MKze	   M1J1FMxe	   M1J1FMye	   M1J1FMze	   M1J1MMxe	   M1J1MMye	   M1J1MMze	   M1J2FKxe	   M1J2FKye	   M1J2FKze	   M1J2MKxe	   M1J2MKye	   M1J2MKze	   M1J2FMxe	   M1J2FMye	   M1J2FMze	   M1J2MMxe	   M1J2MMye	   M1J2MMze	   M2J1FKxe	   M2J1FKye	   M2J1FKze	   M2J1MKxe	   M2J1MKye	   M2J1MKze	   M2J1FMxe	   M2J1FMye	   M2J1FMze	   M2J1MMxe	   M2J1MMye	   M2J1MMze	   M2J2FKxe	   M2J2FKye	   M2J2FKze	   M2J2MKxe	   M2J2MKye	   M2J2MKze	   M2J2FMxe	   M2J2FMye	   M2J2FMze	   M2J2MMxe	   M2J2MMye	   M2J2MMze	   M3J1FKxe	   M3J1FKye	   M3J1FKze	   M3J1MKxe	   M3J1MKye	   M3J1MKze	   M3J1FMxe	   M3J1FMye	   M3J1FMze	   M3J1MMxe	   M3J1MMye	   M3J1MMze	   M3J2FKxe	   M3J2FKye	   M3J2FKze	   M3J2MKxe	   M3J2MKye	   M3J2MKze	   M3J2FMxe	   M3J2FMye	   M3J2FMze	   M3J2MMxe	   M3J2MMye	   M3J2MMze	   M4J1FKxe	   M4J1FKye	   M4J1FKze	   M4J1MKxe	   M4J1MKye	   M4J1MKze	   M4J1FMxe	   M4J1FMye	   M4J1FMze	   M4J1MMxe	   M4J1MMye	   M4J1MMze	   M4J2FKxe	   M4J2FKye	   M4J2FKze	   M4J2MKxe	   M4J2MKye	   M4J2MKze	   M4J2FMxe	   M4J2FMye	   M4J2FMze	   M4J2MMxe	   M4J2MMye	   M4J2MMze	   M5J1FKxe	   M5J1FKye	   M5J1FKze	   M5J1MKxe	   M5J1MKye	   M5J1MKze	   M5J1FMxe	   M5J1FMye	   M5J1FMze	   M5J1MMxe	   M5J1MMye	   M5J1MMze	   M5J2FKxe	   M5J2FKye	   M5J2FKze	   M5J2MKxe	   M5J2MKye	   M5J2MKze	   M5J2FMxe	   M5J2FMye	   M5J2FMze	   M5J2MMxe	   M5J2MMye	   M5J2MMze

       s	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	       (Nm)	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	       (Nm)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	    (m/s^2)	    (m/s^2)	    (m/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	        (N)	      (N*m)	      (N*m)	       (--)	       (--)	       (--)	      (1/s)	      (1/s)	      (1/s)	    (1/s^2)	    (1/s^2)	    (1/s^2)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)

   0.000	-5.4688E-02	-3.9062E-02	 8.3029E+06	-9.6875E-01	 9.6875E-01	-1.8750E-01	-5.1063E-01	-5.1179E-01	-2.7407E+06	 2.1774E-02	-4.0976E-02	 6.7158E-03	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.4611E+06	 4.4198E+05	-4.4198E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.3710E+04	-4.3710E+04	-4.4611E+06	 4.4198E+05	-4.4198E+05	 0.0000E+00	-1.2296E+04	-1.2296E+04	 3.0961E+05	 5.7474E+04	-5.7474E+04	 2.4064E-09	-4.3710E+04	-4.3710E+04	-3.0579E+06	-4.3221E+05	 4.3221E+05	 0.0000E+00	 1.7834E+04	 1.7834E+04	-6.1922E+05	 7.4104E+04	-7.4104E+04	-4.8128E-09	 4.3710E+04	 4.3710E+04	-4.4611E+06	-4.4198E+05	 4.4198E+05	 0.0000E+00	 1.2296E+04	 1.2296E+04	 3.0961E+05	-5.7474E+04	 5.7474E+04	 2.6147E-09	 4.3710E+04	 4.3710E+04	-3.0579E+06	 4.3221E+05	-4.3221E+05	 0.0000E+00	-1.7834E+04	-1.7834E+04	-6.1922E+05	-7.4104E+04	 7.4104E+04	-5.2295E-09	 0.0000E+00	 1.0524E+06	 2.6979E+06	-5.2712E+06	-4.6875E-02	 2.0371E-02	 3.4527E-04	-1.2649E+06	 7.2262E+03	 6.1869E+06	 7.2260E-08	 0.0000E+00	 0.0000E+00	-1.0524E+06	 2.6979E+06	-5.2712E+06	 4.6875E-02	-2.2788E-02	 0.0000E+00	 1.2649E+06	 7.2262E+03	 6.1869E+06	 9.7392E-08	 0.0000E+00	 0.0000E+00	 7.0116E+05	-5.5343E+06	-3.3237E+06	-6.5918E-03	 8.7891E-03	 6.9053E-04	-5.6075E+05	 7.7766E+05	 1.9015E+06	-1.4927E-08	 1.9903E-08	 0.0000E+00	-6.0526E+05	-3.7924E+06	-2.1250E+06	 2.4636E-02	 3.9809E-03	 0.0000E+00	 1.7540E+05	-3.8883E+05	 1.0699E+06	-9.7360E-09	 1.2981E-08	 0.0000E+00	 6.0526E+05	-3.7924E+06	-2.1250E+06	-6.5918E-04	-8.7891E-04	 0.0000E+00	-1.7540E+05	-3.8883E+05	 1.0699E+06	 1.0579E-08	 1.4105E-08	 0.0000E+00	-7.0116E+05	-5.5343E+06	-3.3237E+06	 7.3242E-04	 9.7656E-04	 6.9053E-04	 5.6075E+05	 7.7766E+05	 1.9015E+06	 1.6220E-08	 2.1626E-08
   0.010	-4.6875E-02	-3.9062E-02	 1.2749E+07	-1.5000E+00	 1.5000E+00	-9.3750E-02	-5.0941E-01	-5.3381E-01	 2.5783E+05	-9.4537E-02	-1.5499E-01	 4.4720E-02	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.2661E+06	 9.1089E+05	-9.1089E+05	 1.1058E-16	-4.2622E-17	-1.4339E-16	 2.1443E-14	-8.1968E-15	-2.4840E-14	 1.9761E-12	-7.3737E-13	-1.5106E-12	-1.1864E+05	-1.1864E+05	-6.2661E+06	 9.1089E+05	-9.1089E+05	-4.7889E-09	 7.2690E+04	 7.2690E+04	-1.0827E+05	-3.4288E+05	 3.4288E+05	-1.1695E-09	-1.1864E+05	-1.1864E+05	-4.8629E+06	-1.4619E+06	 1.4619E+06	-4.7889E-09	-1.2717E+05	-1.2717E+05	 2.1654E+05	-4.7160E+05	 4.7160E+05	 2.3391E-09	 1.1864E+05	 1.1864E+05	-6.2661E+06	-9.1089E+05	 9.1089E+05	-5.8653E-09	-7.2690E+04	-7.2690E+04	-1.0827E+05	 3.4288E+05	-3.4288E+05	-1.1900E-09	 1.1864E+05	 1.1864E+05	-4.8629E+06	 1.4619E+06	-1.4619E+06	-5.8653E-09	 1.2717E+05	 1.2717E+05	 2.1654E+05	 4.7160E+05	-4.7160E+05	 2.3800E-09	-8.8388E-02	 1.0524E+06	 2.1494E+06	-4.7425E+06	-3.9063E-02	-2.2097E-02	 3.4527E-04	-1.2400E+05	 5.4986E+03	 1.2741E+06	-3.2886E-08	 0.0000E+00	-8.8388E-02	-1.0524E+06	 2.1494E+06	-4.7425E+06	 3.9063E-02	 0.0000E+00	 0.0000E+00	 1.2400E+05	 5.4986E+03	 1.2741E+06	-4.4324E-08	 0.0000E+00	 0.0000E+00	 6.5330E+05	-4.3454E+06	-2.5721E+06	-4.4730E-02	-1.4016E-02	 0.0000E+00	-9.6330E+04	-2.6198E+05	 6.9047E+05	 7.2548E-09	-9.6731E-09	 0.0000E+00	-6.5312E+05	-2.6035E+06	-2.5698E+06	 2.7053E-02	 7.5825E-04	 0.0000E+00	 1.1452E+05	 1.3099E+05	 6.4444E+05	 4.7319E-09	-6.3092E-09	 0.0000E+00	 6.5312E+05	-2.6035E+06	-2.5698E+06	-4.4194E-03	 3.3146E-03	 0.0000E+00	-1.1452E+05	 1.3099E+05	 6.4444E+05	-4.8146E-09	-6.4195E-09	 0.0000E+00	-6.5330E+05	-4.3454E+06	-2.5721E+06	 3.4199E-09	 4.5599E-09	 0.0000E+00	 9.6330E+04	-2.6198E+05	 6.9047E+05	-7.3816E-09	-9.8422E-09
   0.020	 0.0000E+00	 0.0000E+00	 1.2783E+07	 4.7500E+00	-4.7500E+00	 3.6570E-09	-4.9820E-01	-5.1206E-01	 4.4418E+05	-2.4725E-02	-2.3073E-01	 6.9966E-02	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.4143E+06	 2.4059E+06	-2.4059E+06	 4.1277E-16	-1.5601E-16	-4.0960E-16	 3.8080E-14	-1.4031E-14	-2.4331E-14	 1.4403E-12	-4.7377E-13	 9.8762E-13	-3.4686E+05	-3.4686E+05	-6.4143E+06	 2.4059E+06	-2.4059E+06	-1.9864E-09	-6.4702E+04	-6.4702E+04	 2.2603E+04	 3.0566E+05	-3.0566E+05	 5.5428E-10	-3.4686E+05	-3.4686E+05	-5.0111E+06	-4.5314E+06	 4.5314E+06	-1.9864E-09	 1.1642E+05	 1.1642E+05	-4.5206E+04	 4.2474E+05	-4.2474E+05	-1.1086E-09	 3.4686E+05	 3.4686E+05	-6.4143E+06	-2.4059E+06	 2.4059E+06	-4.1265E-09	 6.4702E+04	 6.4702E+04	 2.2603E+04	-3.0566E+05	 3.0566E+05	 4.6954E-10	 3.4686E+05	 3.4686E+05	-5.0111E+06	 4.5314E+06	-4.5314E+06	-4.1265E-09	-1.1642E+05	-1.1642E+05	-4.5206E+04	-4.2474E+05	 4.2474E+05	-9.3908E-10	-8.8388E-02	 1.0524E+06	 1.6741E+06	-3.2580E+06	-4.6875E-02	-1.7678E-01	 0.0000E+00	 4.2044E+05	-1.2034E+04	-2.6610E+06	 1.2976E-08	 0.0000E+00	-8.8388E-02	-1.0524E+06	 1.6741E+06	-3.2580E+06	 4.6875E-02	 8.8388E-02	 0.0000E+00	-4.2044E+05	-1.2034E+04	-2.6610E+06	 1.7489E-08	 0.0000E+00	 0.0000E+00	 5.4700E+05	-4.4400E+06	-8.1272E+05	-1.1582E-09	 1.5443E-09	 0.0000E+00	 2.1406E+05	 4.1179E+04	-1.0540E+06	-3.5355E-02	-2.6516E-02	 0.0000E+00	-7.5941E+05	-2.6981E+06	-3.4678E+06	 1.3648E-10	-1.8197E-10	 0.0000E+00	-1.4307E+05	-2.0590E+04	-8.2389E+05	-2.2426E-09	 2.9901E-09	 0.0000E+00	 7.5941E+05	-2.6981E+06	-3.4678E+06	-2.8352E-10	-3.7803E-10	 0.0000E+00	 1.4307E+05	-2.0590E+04	-8.2389E+05	 1.8997E-09	 2.5330E-09	 0.0000E+00	-5.4700E+05	-4.4400E+06	-8.1272E+05	-7.0711E-02	 5.3033E-02	 0.0000E+00	-2.1406E+05	 4.1179E+04	-1.0540E+06	 3.5355E-02	-2.6516E-02
   0.030	-6.2500E-02	-3.1250E-02	 1.3861E+07	 4.0000E+00	-4.0000E+00	 5.5304E-09	-4.8111E-01	-5.1156E-01	 6.0933E+05	 1.7805E-02	-2.3674E-01	 7.1971E-02	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.9104E+06	 2.8353E+06	-2.8353E+06	 8.5248E-16	-3.1369E-16	-5.7249E-16	 4.8829E-14	-1.7017E-14	-6.8812E-15	 8.2564E-13	-1.8128E-13	 1.9981E-12	-4.1396E+05	-4.1396E+05	-6.9104E+06	 2.8353E+06	-2.8353E+06	-3.3241E-09	-3.4229E+04	-3.4229E+04	-2.0244E+04	 1.5908E+05	-1.5908E+05	-1.8732E-10	-4.1396E+05	-4.1396E+05	-5.5072E+06	-5.4439E+06	 5.4439E+06	-3.3241E-09	 4.3315E+04	 4.3315E+04	 4.0488E+04	 1.9653E+05	-1.9653E+05	 3.7464E-10	 4.1396E+05	 4.1396E+05	-6.9104E+06	-2.8353E+06	 2.8353E+06	-5.2859E-09	 3.4229E+04	 3.4229E+04	-2.0244E+04	-1.5908E+05	 1.5908E+05	-2.4448E-10	 4.1396E+05	 4.1396E+05	-5.5072E+06	 5.4439E+06	-5.4439E+06	-5.2859E-09	-4.3315E+04	-4.3315E+04	 4.0488E+04	-1.9653E+05	 1.9653E+05	 4.8897E-10	 0.0000E+00	 1.0524E+06	 1.3535E+06	-2.8025E+06	-3.9063E-02	 8.8388E-02	 0.0000E+00	 4.9150E+05	 3.4147E+04	-2.8860E+06	-6.7565E-09	 0.0000E+00	 0.0000E+00	-1.0524E+06	 1.3535E+06	-2.8025E+06	 3.9063E-02	 0.0000E+00	 0.0000E+00	-4.9150E+05	 3.4147E+04	-2.8860E+06	-9.1064E-09	 0.0000E+00	-1.7678E-01	 5.1146E+05	-4.1892E+06	-2.3621E+05	-1.9382E-09	 2.5843E-09	 0.0000E+00	 3.2244E+05	-7.8710E+03	-1.3659E+06	 1.1620E-09	-1.5493E-09	-1.7678E-01	-7.9496E+05	-2.4473E+06	-3.7800E+06	 2.2839E-10	-3.0452E-10	 5.5243E-03	-1.6405E+05	 3.9355E+03	-9.6018E+05	 7.5788E-10	-1.0105E-09	 0.0000E+00	 7.9496E+05	-2.4473E+06	-3.7800E+06	-3.5355E-02	 2.6517E-02	 5.5243E-03	 1.6405E+05	 3.9355E+03	-9.6018E+05	-9.8917E-10	-1.3189E-09	 0.0000E+00	-5.1146E+05	-4.1892E+06	-2.3621E+05	 3.0821E-09	 4.1094E-09	 0.0000E+00	-3.2244E+05	-7.8710E+03	-1.3659E+06	-1.5166E-09	-2.0221E-09
   0.040	-6.2500E-02	-3.1250E-02	 1.3199E+07	 8.2500E+00	-8.2500E+00	-2.5000E-01	-5.0572E-01	-5.2059E-01	 1.6673E+05	-5.5371E-02	-1.8956E-01	 5.6244E-02	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.5938E+06	 2.3834E+06	-2.3834E+06	 1.3685E-15	-4.8679E-16	-5.5040E-16	 5.3333E-14	-1.7148E-14	 9.8624E-15	 2.0368E-13	 9.4282E-14	 1.2832E-12	-3.4387E+05	-3.4387E+05	-6.5938E+06	 2.3834E+06	-2.3834E+06	-3.3462E-09	-1.2555E+04	-1.2555E+04	-5.9216E+03	 5.9853E+04	-5.9853E+04	 6.1052E-11	-3.4387E+05	-3.4387E+05	-5.1906E+06	-4.4940E+06	 4.4940E+06	-3.3462E-09	 2.6373E+04	 2.6373E+04	 1.1843E+04	 8.8250E+04	-8.8250E+04	-1.2210E-10	 3.4387E+05	 3.4387E+05	-6.5938E+06	-2.3834E+06	 2.3834E+06	-4.4001E-09	 1.2555E+04	 1.2555E+04	-5.9216E+03	-5.9853E+04	 5.9853E+04	 1.1340E-10	 3.4387E+05	 3.4387E+05	-5.1906E+06	 4.4940E+06	-4.4940E+06	-4.4001E-09	-2.6373E+04	-2.6373E+04	 1.1843E+04	-8.8250E+04	 8.8250E+04	-2.2679E-10	 0.0000E+00	 1.0524E+06	 1.6294E+06	-3.2721E+06	-3.9063E-02	 0.0000E+00	 3.4527E-04	 1.0227E+05	-1.0722E+04	-5.9226E+05	 3.1338E-09	 0.0000E+00	 0.0000E+00	-1.0524E+06	 1.6294E+06	-3.2721E+06	 3.9063E-02	-8.8388E-02	-3.4527E-04	-1.0227E+05	-1.0722E+04	-5.9226E+05	 4.2238E-09	 4.4194E-02	 0.0000E+00	 5.4693E+05	-4.3174E+06	-8.1591E+05	-1.8750E-02	 2.5000E-02	 0.0000E+00	 3.3524E+04	-2.8012E+04	-1.6153E+05	-3.7871E-10	 5.0495E-10	 0.0000E+00	-7.5948E+05	-2.5755E+06	-3.4728E+06	 1.8750E-02	-2.5000E-02	 0.0000E+00	-2.1586E+04	 1.4006E+04	-1.2455E+05	-2.4701E-10	 3.2935E-10	 0.0000E+00	 7.5948E+05	-2.5755E+06	-3.4728E+06	-3.0232E-10	-4.0310E-10	 0.0000E+00	 2.1586E+04	 1.4006E+04	-1.2455E+05	 4.5880E-10	 6.1173E-10	 0.0000E+00	-5.4693E+05	-4.3174E+06	-8.1591E+05	 2.5656E-09	 3.4208E-09	 0.0000E+00	-3.3524E+04	-2.8012E+04	-1.6153E+05	 7.0342E-10	 9.3789E-10
   0.050	-6.2500E-02	-4.6875E-02	 1.2374E+07	-1.5000E+00	 1.5000E+00	-2.5000E-01	-5.0797E-01	-5.2444E-01	-3.5111E+05	-5.6410E-02	-1.4659E-01	 4.1919E-02	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.1980E+06	 1.6910E+06	-1.6910E+06	 1.8993E-15	-6.4842E-16	-4.1760E-16	 5.1909E-14	-1.4820E-14	 1.4355E-14	-3.6203E-13	 3.1619E-13	-1.0657E-13	-2.3766E+05	-2.3766E+05	-6.1980E+06	 1.6910E+06	-1.6910E+06	-3.8322E-09	 2.3724E+04	 2.3724E+04	 1.1094E+04	-1.1180E+05	 1.1180E+05	-6.5402E-11	-2.3766E+05	-2.3766E+05	-4.7948E+06	-3.0622E+06	 3.0622E+06	-3.8322E-09	-4.0779E+04	-4.0779E+04	-2.2188E+04	-1.5280E+05	 1.5280E+05	 1.3080E-10	 2.3766E+05	 2.3766E+05	-6.1980E+06	-1.6910E+06	 1.6910E+06	-4.6089E-09	-2.3724E+04	-2.3724E+04	 1.1094E+04	 1.1180E+05	-1.1180E+05	-1.0723E-11	 2.3766E+05	 2.3766E+05	-4.7948E+06	 3.0622E+06	-3.0622E+06	-4.6089E-09	 4.0779E+04	 4.0779E+04	-2.2188E+04	 1.5280E+05	-1.5280E+05	 2.1445E-11	 0.0000E+00	 1.0524E+06	 1.9101E+06	-3.9692E+06	-4.6875E-02	 0.0000E+00	 0.0000E+00	-2.5435E+05	 1.8344E+02	 1.4905E+06	-2.9633E-10	 8.8388E-02	 0.0000E+00	-1.0524E+06	 1.9101E+06	-3.9692E+06	 4.6875E-02	 0.0000E+00	 0.0000E+00	 2.5435E+05	 1.8344E+02	 1.4905E+06	-3.9939E-10	 8.8388E-02	 0.0000E+00	 5.9865E+05	-4.5064E+06	-1.6646E+06	-2.2345E-09	 2.9793E-09	 0.0000E+00	-1.3364E+05	 2.7772E+04	 5.8820E+05	 4.0570E-10	-5.4093E-10	 0.0000E+00	-7.0777E+05	-2.7645E+06	-3.0286E+06	 4.4730E-02	 1.4016E-02	-2.7621E-03	 7.3120E+04	-1.3886E+04	 4.2594E+05	 2.6461E-10	-3.5282E-10	 0.0000E+00	 7.0777E+05	-2.7645E+06	-3.0286E+06	-3.1666E-10	-4.2222E-10	-2.7621E-03	-7.3120E+04	-1.3886E+04	 4.2594E+05	-4.3383E-11	-5.7845E-11	 0.0000E+00	-5.9865E+05	-4.5064E+06	-1.6646E+06	-3.5355E-02	 2.6517E-02	 0.0000E+00	 1.3364E+05	 2.7772E+04	 5.8820E+05	-6.6514E-11	-8.8686E-11
   0.060	-6.2500E-02	-3.1250E-02	 1.2168E+07	 6.1250E+00	-6.1250E+00	-2.5000E-01	-5.1196E-01	-5.2569E-01	-3.0189E+05	-7.0817E-02	-1.4703E-01	 4.2066E-02	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.0893E+06	 1.4660E+06	-1.4660E+06	 2.3898E-15	-7.7727E-16	-3.0261E-16	 4.5434E-14	-1.0724E-14	 7.3311E-15	-8.2145E-13	 4.6072E-13	-9.8000E-13	-2.0296E+05	-2.0296E+05	-6.0893E+06	 1.4660E+06	-1.4660E+06	-3.5172E-09	 2.2511E+04	 2.2511E+04	 5.2170E+03	-1.0545E+05	 1.0545E+05	 1.6679E-11	-2.0296E+05	-2.0296E+05	-4.6862E+06	-2.5933E+06	 2.5933E+06	-3.5172E-09	-3.4238E+04	-3.4238E+04	-1.0434E+04	-1.3812E+05	 1.3812E+05	-3.3358E-11	 2.0296E+05	 2.0296E+05	-6.0893E+06	-1.4660E+06	 1.4660E+06	-4.7920E-09	-2.2511E+04	-2.2511E+04	 5.2170E+03	 1.0545E+05	-1.0545E+05	 1.3255E-11	 2.0296E+05	 2.0296E+05	-4.6862E+06	 2.5933E+06	-2.5933E+06	-4.7920E-09	 3.4238E+04	 3.4238E+04	-1.0434E+04	 1.3812E+05	-1.3812E+05	-2.6509E-11	 0.0000E+00	 1.0524E+06	 2.0231E+06	-4.1992E+06	-3.9063E-02	-1.3258E-01	 3.4527E-04	-2.4772E+05	-9.7039E+03	 1.4786E+06	 3.6630E-10	 0.0000E+00	 0.0000E+00	-1.0524E+06	 2.0231E+06	-4.1992E+06	 3.9063E-02	 0.0000E+00	 0.0000E+00	 2.4772E+05	-9.7039E+03	 1.4786E+06	 4.9370E-10	-4.4194E-02	 0.0000E+00	 6.1571E+05	-4.5422E+06	-1.9446E+06	-2.0508E-09	 2.7344E-09	 0.0000E+00	-1.5044E+05	 9.0648E+02	 6.5878E+05	-1.0346E-10	 1.3795E-10	 0.0000E+00	-6.9071E+05	-2.8003E+06	-2.8821E+06	 2.4166E-10	-3.2221E-10	-2.7621E-03	 8.1531E+04	-4.5324E+02	 4.7522E+05	-1.7678E-02	-1.3258E-02	 0.0000E+00	 6.9071E+05	-2.8003E+06	-2.8821E+06	-3.2924E-10	-4.3899E-10	-2.7621E-03	-8.1531E+04	-4.5324E+02	 4.7522E+05	 1.7678E-02	-1.3258E-02	 0.0000E+00	-6.1571E+05	-4.5422E+06	-1.9446E+06	 2.7941E-09	 3.7255E-09	 0.0000E+00	 1.5044E+05	 9.0648E+02	 6.5878E+05	 8.2219E-11	 1.0963E-10
