
These predictions were generated by SubDyn on 07-Aug-2013 at 14:28:13.

    Time	   ReactXss	   ReactYss	   ReactZss	  ReactMXss	  ReactMYss	  ReactMZss	    IntfXss	    IntfYss	    IntfZss	   IntfMXss	   IntfMYss	   IntfMZss	  IntfTDXss	  IntfTDYss	  IntfTDZss	  IntfRDXss	  IntfRDYss	  IntfRDZss	  IntfTAXss	  IntfTAYss	  IntfTAZss	  IntfRAXss	  IntfRAYss	  IntfRAZss	   M1N1FKze	   M1N1MKxe	   M1N1MKye	     SSqm01	     SSqm02	     SSqm03	    SSqmd01	    SSqmd02	    SSqmd03	   SSqmdd01	   SSqmdd02	   SSqmdd03	   M1J1FKxe	   M1J1FKye	   M1J1FKze	   M1J1MKxe	   M1J1MKye	   M1J1MKze	   M1J1FMxe	   M1J1FMye	   M1J1FMze	   M1J1MMxe	   M1J1MMye	   M1J1MMze	   M1J2FKxe	   M1J2FKye	   M1J2FKze	   M1J2MKxe	   M1J2MKye	   M1J2MKze	   M1J2FMxe	   M1J2FMye	   M1J2FMze	   M1J2MMxe	   M1J2MMye	   M1J2MMze	   M2J1FKxe	   M2J1FKye	   M2J1FKze	   M2J1MKxe	   M2J1MKye	   M2J1MKze	   M2J1FMxe	   M2J1FMye	   M2J1FMze	   M2J1MMxe	   M2J1MMye	   M2J1MMze	   M2J2FKxe	   M2J2FKye	   M2J2FKze	   M2J2MKxe	   M2J2MKye	   M2J2MKze	   M2J2FMxe	   M2J2FMye	   M2J2FMze	   M2J2MMxe	   M2J2MMye	   M2J2MMze	   M3J1FKxe	   M3J1FKye	   M3J1FKze	   M3J1MKxe	   M3J1MKye	   M3J1MKze	   M3J1FMxe	   M3J1FMye	   M3J1FMze	   M3J1MMxe	   M3J1MMye	   M3J1MMze	   M3J2FKxe	   M3J2FKye	   M3J2FKze	   M3J2MKxe	   M3J2MKye	   M3J2MKze	   M3J2FMxe	   M3J2FMye	   M3J2FMze	   M3J2MMxe	   M3J2MMye	   M3J2MMze	   M4J1FKxe	   M4J1FKye	   M4J1FKze	   M4J1MKxe	   M4J1MKye	   M4J1MKze	   M4J1FMxe	   M4J1FMye	   M4J1FMze	   M4J1MMxe	   M4J1MMye	   M4J1MMze	   M4J2FKxe	   M4J2FKye	   M4J2FKze	   M4J2MKxe	   M4J2MKye	   M4J2MKze	   M4J2FMxe	   M4J2FMye	   M4J2FMze	   M4J2MMxe	   M4J2MMye	   M4J2MMze	   M5J1FKxe	   M5J1FKye	   M5J1FKze	   M5J1MKxe	   M5J1MKye	   M5J1MKze	   M5J1FMxe	   M5J1FMye	   M5J1FMze	   M5J1MMxe	   M5J1MMye	   M5J1MMze	   M5J2FKxe	   M5J2FKye	   M5J2FKze	   M5J2MKxe	   M5J2MKye	   M5J2MKze	   M5J2FMxe	   M5J2FMye	   M5J2FMze	   M5J2MMxe	   M5J2MMye	   M5J2MMze

       s	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	       (Nm)	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	       (Nm)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	    (m/s^2)	    (m/s^2)	    (m/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	        (N)	      (N*m)	      (N*m)	       (--)	       (--)	       (--)	      (1/s)	      (1/s)	      (1/s)	    (1/s^2)	    (1/s^2)	    (1/s^2)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)

   0.000	 3.1250E-02	 0.0000E+00	 8.3029E+06	 0.0000E+00	-1.3125E+00	 0.0000E+00	-1.1181E-01	 0.0000E+00	-2.7407E+06	 0.0000E+00	-3.6600E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.4611E+06	 0.0000E+00	-6.2506E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.1815E+04	 0.0000E+00	-4.4611E+06	 0.0000E+00	-6.2506E+05	 0.0000E+00	-1.7389E+04	 0.0000E+00	 3.0961E+05	 0.0000E+00	-8.1281E+04	 0.0000E+00	-6.1815E+04	 0.0000E+00	-3.0579E+06	 0.0000E+00	 6.1123E+05	 0.0000E+00	 2.5220E+04	 0.0000E+00	-6.1922E+05	 0.0000E+00	-1.0480E+05	 0.0000E+00	 6.1815E+04	 0.0000E+00	-4.4611E+06	 0.0000E+00	 6.2506E+05	 0.0000E+00	 1.7389E+04	 0.0000E+00	 3.0961E+05	 0.0000E+00	 8.1281E+04	 0.0000E+00	 6.1815E+04	 0.0000E+00	-3.0579E+06	 0.0000E+00	-6.1123E+05	 0.0000E+00	-2.5220E+04	 0.0000E+00	-6.1922E+05	 0.0000E+00	 1.0480E+05	 0.0000E+00	 0.0000E+00	 1.0524E+06	 2.6979E+06	-5.2712E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.2649E+06	 7.2263E+03	 6.1869E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0524E+06	 2.6979E+06	-5.2712E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.2649E+06	 7.2263E+03	 6.1869E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 7.0116E+05	-5.5343E+06	-3.3237E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-5.6075E+05	 7.7766E+05	 1.9015E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.0526E+05	-3.7924E+06	-2.1250E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.7540E+05	-3.8883E+05	 1.0699E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 6.0526E+05	-3.7924E+06	-2.1250E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.7540E+05	-3.8883E+05	 1.0699E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.0116E+05	-5.5343E+06	-3.3237E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.6075E+05	 7.7766E+05	 1.9015E+06	 0.0000E+00	 0.0000E+00
   0.010	 1.5625E-02	 0.0000E+00	 1.1230E+07	 0.0000E+00	 1.3750E+00	 0.0000E+00	-1.1894E-01	 0.0000E+00	 1.3785E+05	 0.0000E+00	-2.6574E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-5.5908E+06	 0.0000E+00	-1.1093E+06	 0.0000E+00	 0.0000E+00	-4.0394E-17	 0.0000E+00	 0.0000E+00	-5.8415E-15	 0.0000E+00	 0.0000E+00	-1.1444E-13	-1.3800E+05	 0.0000E+00	-5.5908E+06	 0.0000E+00	-1.1093E+06	 0.0000E+00	 1.2555E+04	 0.0000E+00	-2.4030E+04	 0.0000E+00	 5.9507E+04	 0.0000E+00	-1.3800E+05	 0.0000E+00	-4.1876E+06	 0.0000E+00	 1.6506E+06	 0.0000E+00	-2.3958E+04	 0.0000E+00	 4.8059E+04	 0.0000E+00	 8.4526E+04	 0.0000E+00	 1.3800E+05	 0.0000E+00	-5.5908E+06	 0.0000E+00	 1.1093E+06	 0.0000E+00	-1.2555E+04	 0.0000E+00	-2.4030E+04	 0.0000E+00	-5.9507E+04	 0.0000E+00	 1.3800E+05	 0.0000E+00	-4.1876E+06	 0.0000E+00	-1.6506E+06	 0.0000E+00	 2.3958E+04	 0.0000E+00	 4.8059E+04	 0.0000E+00	-8.4526E+04	 0.0000E+00	 0.0000E+00	 1.0524E+06	 2.3986E+06	-4.9011E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.3062E+04	 3.7958E+03	-1.4567E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0524E+06	 2.3986E+06	-4.9011E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.3062E+04	 3.7958E+03	-1.4567E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 6.6868E+05	-4.7705E+06	-2.8104E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 2.1675E+04	-5.4948E+04	-3.8970E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.3774E+05	-3.0286E+06	-2.4236E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.2300E+03	 2.7474E+04	 2.3685E+03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 6.3774E+05	-3.0286E+06	-2.4236E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.2300E+03	 2.7474E+04	 2.3685E+03	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.6868E+05	-4.7705E+06	-2.8104E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.1675E+04	-5.4948E+04	-3.8970E+04	 0.0000E+00	 0.0000E+00
   0.020	 0.0000E+00	 0.0000E+00	 1.2092E+07	 0.0000E+00	 3.7500E-01	 0.0000E+00	-1.1278E-01	 0.0000E+00	 1.9219E+05	 0.0000E+00	-2.6150E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.0406E+06	 0.0000E+00	-1.9728E+06	 0.0000E+00	 0.0000E+00	-9.4317E-17	 0.0000E+00	 0.0000E+00	-4.5215E-15	 0.0000E+00	 0.0000E+00	 2.1237E-13	-2.7159E+05	 0.0000E+00	-6.0406E+06	 0.0000E+00	-1.9728E+06	 0.0000E+00	-1.8102E+04	 0.0000E+00	-5.2466E+03	 0.0000E+00	-8.4827E+04	 0.0000E+00	-2.7159E+05	 0.0000E+00	-4.6374E+06	 0.0000E+00	 3.4590E+06	 0.0000E+00	 2.7771E+04	 0.0000E+00	 1.0493E+04	 0.0000E+00	-1.1143E+05	 0.0000E+00	 2.7159E+05	 0.0000E+00	-6.0406E+06	 0.0000E+00	 1.9728E+06	 0.0000E+00	 1.8102E+04	 0.0000E+00	-5.2466E+03	 0.0000E+00	 8.4827E+04	 0.0000E+00	 2.7159E+05	 0.0000E+00	-4.6374E+06	 0.0000E+00	-3.4590E+06	 0.0000E+00	-2.7771E+04	 0.0000E+00	 1.0493E+04	 0.0000E+00	 1.1143E+05	 0.0000E+00	 0.0000E+00	 1.0524E+06	 2.0552E+06	-4.2712E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.4997E+05	 5.1426E+03	-8.8505E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0524E+06	 2.0552E+06	-4.2712E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.4997E+05	 5.1426E+03	-8.8505E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 6.2110E+05	-4.5667E+06	-2.0329E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 8.8968E+04	-6.6422E+03	-3.8599E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.8532E+05	-2.8248E+06	-2.8356E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.7381E+04	 3.3211E+03	-2.7648E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 6.8532E+05	-2.8248E+06	-2.8356E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.7381E+04	 3.3211E+03	-2.7648E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.2110E+05	-4.5667E+06	-2.0329E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-8.8968E+04	-6.6422E+03	-3.8599E+05	 0.0000E+00	 0.0000E+00
   0.030	 3.1250E-02	 0.0000E+00	 1.2482E+07	 0.0000E+00	 1.0000E+00	 0.0000E+00	-1.1513E-01	 0.0000E+00	 1.2304E+05	 0.0000E+00	-2.5706E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.2380E+06	 0.0000E+00	-2.4679E+06	 0.0000E+00	 0.0000E+00	-1.2882E-16	 0.0000E+00	 0.0000E+00	-2.4536E-15	 0.0000E+00	 0.0000E+00	 1.8488E-13	-3.4775E+05	 0.0000E+00	-6.2380E+06	 0.0000E+00	-2.4679E+06	 0.0000E+00	-1.2378E+04	 0.0000E+00	-2.8668E+03	 0.0000E+00	-5.8089E+04	 0.0000E+00	-3.4775E+05	 0.0000E+00	-4.8348E+06	 0.0000E+00	 4.4871E+06	 0.0000E+00	 1.9569E+04	 0.0000E+00	 5.7335E+03	 0.0000E+00	-7.7090E+04	 0.0000E+00	 3.4775E+05	 0.0000E+00	-6.2380E+06	 0.0000E+00	 2.4679E+06	 0.0000E+00	 1.2378E+04	 0.0000E+00	-2.8668E+03	 0.0000E+00	 5.8089E+04	 0.0000E+00	 3.4775E+05	 0.0000E+00	-4.8348E+06	 0.0000E+00	-4.4871E+06	 0.0000E+00	-1.9569E+04	 0.0000E+00	 5.7335E+03	 0.0000E+00	 7.7090E+04	 0.0000E+00	 0.0000E+00	 1.0524E+06	 1.8946E+06	-3.9158E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 9.6523E+04	 2.6093E+03	-5.7211E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0524E+06	 1.8946E+06	-3.9158E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-9.6523E+04	 2.6093E+03	-5.7211E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.9467E+05	-4.4816E+06	-1.5994E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.6153E+04	-3.8784E+03	-2.4584E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.1175E+05	-2.7397E+06	-3.0628E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.0421E+04	 1.9392E+03	-1.7732E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 7.1175E+05	-2.7397E+06	-3.0628E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 3.0421E+04	 1.9392E+03	-1.7732E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-5.9467E+05	-4.4816E+06	-1.5994E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-5.6153E+04	-3.8784E+03	-2.4584E+05	 0.0000E+00	 0.0000E+00
   0.040	 3.1250E-02	 0.0000E+00	 1.2640E+07	 0.0000E+00	-2.2500E+00	 0.0000E+00	-1.1711E-01	 0.0000E+00	 5.5176E+04	 0.0000E+00	-2.5308E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.3186E+06	 0.0000E+00	-2.6705E+06	 0.0000E+00	 0.0000E+00	-1.4587E-16	 0.0000E+00	 0.0000E+00	-1.0894E-15	 0.0000E+00	 0.0000E+00	 1.0507E-13	-3.7890E+05	 0.0000E+00	-6.3186E+06	 0.0000E+00	-2.6705E+06	 0.0000E+00	-5.5386E+03	 0.0000E+00	-1.2957E+03	 0.0000E+00	-2.5992E+04	 0.0000E+00	-3.7890E+05	 0.0000E+00	-4.9154E+06	 0.0000E+00	 4.9076E+06	 0.0000E+00	 8.7570E+03	 0.0000E+00	 2.5914E+03	 0.0000E+00	-3.4496E+04	 0.0000E+00	 3.7890E+05	 0.0000E+00	-6.3186E+06	 0.0000E+00	 2.6705E+06	 0.0000E+00	 5.5386E+03	 0.0000E+00	-1.2957E+03	 0.0000E+00	 2.5992E+04	 0.0000E+00	 3.7890E+05	 0.0000E+00	-4.9154E+06	 0.0000E+00	-4.9076E+06	 0.0000E+00	-8.7570E+03	 0.0000E+00	 2.5914E+03	 0.0000E+00	 3.4496E+04	 0.0000E+00	 0.0000E+00	 1.0524E+06	 1.8300E+06	-3.7706E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.3245E+04	 1.1664E+03	-2.5626E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0524E+06	 1.8300E+06	-3.7706E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.3245E+04	 1.1664E+03	-2.5626E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.8388E+05	-4.4464E+06	-1.4223E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 2.5149E+04	-1.7690E+03	-1.1008E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.2254E+05	-2.7045E+06	-3.1556E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.3619E+04	 8.8452E+02	-7.9387E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	 7.2254E+05	-2.7045E+06	-3.1556E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.3619E+04	 8.8452E+02	-7.9387E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-5.8388E+05	-4.4464E+06	-1.4223E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.5149E+04	-1.7690E+03	-1.1008E+05	 0.0000E+00	 0.0000E+00
   0.050	 3.1250E-02	 0.0000E+00	 1.2690E+07	 0.0000E+00	-2.7500E+00	 0.0000E+00	-1.1814E-01	 0.0000E+00	 1.9446E+04	 0.0000E+00	-2.5098E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.3447E+06	 0.0000E+00	-2.7357E+06	 0.0000E+00	 0.0000E+00	-1.5289E-16	 0.0000E+00	 0.0000E+00	-4.0381E-16	 0.0000E+00	 0.0000E+00	 4.8215E-14	-3.8894E+05	 0.0000E+00	-6.3447E+06	 0.0000E+00	-2.7357E+06	 0.0000E+00	-1.9500E+03	 0.0000E+00	-4.5775E+02	 0.0000E+00	-9.1511E+03	 0.0000E+00	-3.8894E+05	 0.0000E+00	-4.9415E+06	 0.0000E+00	 5.0431E+06	 0.0000E+00	 3.0814E+03	 0.0000E+00	 9.1550E+02	 0.0000E+00	-1.2143E+04	 0.0000E+00	 3.8894E+05	 0.0000E+00	-6.3447E+06	 0.0000E+00	 2.7357E+06	 0.0000E+00	 1.9500E+03	 0.0000E+00	-4.5775E+02	 0.0000E+00	 9.1511E+03	 0.0000E+00	 3.8894E+05	 0.0000E+00	-4.9415E+06	 0.0000E+00	-5.0431E+06	 0.0000E+00	-3.0814E+03	 0.0000E+00	 9.1550E+02	 0.0000E+00	 1.2143E+04	 0.0000E+00	 0.0000E+00	 1.0524E+06	 1.8091E+06	-3.7237E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.5241E+04	 4.1338E+02	-9.0310E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0524E+06	 1.8091E+06	-3.7237E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.5241E+04	 4.1338E+02	-9.0310E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.8040E+05	-4.4350E+06	-1.3652E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 8.8672E+03	-6.2332E+02	-3.8808E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.2602E+05	-2.6931E+06	-3.1856E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.8006E+03	 3.1166E+02	-2.7983E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	 7.2602E+05	-2.6931E+06	-3.1856E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.8006E+03	 3.1166E+02	-2.7983E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-5.8040E+05	-4.4350E+06	-1.3652E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-8.8672E+03	-6.2332E+02	-3.8808E+04	 0.0000E+00	 0.0000E+00
   0.060	 3.1250E-02	 0.0000E+00	 1.2702E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1856E-01	 0.0000E+00	 5.2095E+03	 0.0000E+00	-2.5015E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.3507E+06	 0.0000E+00	-2.7508E+06	 0.0000E+00	 0.0000E+00	-1.5527E-16	 0.0000E+00	 0.0000E+00	-1.1746E-16	 0.0000E+00	 0.0000E+00	 1.8503E-14	-3.9126E+05	 0.0000E+00	-6.3507E+06	 0.0000E+00	-2.7508E+06	 0.0000E+00	-5.2227E+02	 0.0000E+00	-1.2266E+02	 0.0000E+00	-2.4509E+03	 0.0000E+00	-3.9126E+05	 0.0000E+00	-4.9475E+06	 0.0000E+00	 5.0744E+06	 0.0000E+00	 8.2525E+02	 0.0000E+00	 2.4531E+02	 0.0000E+00	-3.2520E+03	 0.0000E+00	 3.9126E+05	 0.0000E+00	-6.3507E+06	 0.0000E+00	 2.7508E+06	 0.0000E+00	 5.2227E+02	 0.0000E+00	-1.2266E+02	 0.0000E+00	 2.4509E+03	 0.0000E+00	 3.9126E+05	 0.0000E+00	-4.9475E+06	 0.0000E+00	-5.0744E+06	 0.0000E+00	-8.2525E+02	 0.0000E+00	 2.4531E+02	 0.0000E+00	 3.2520E+03	 0.0000E+00	 0.0000E+00	 1.0524E+06	 1.8042E+06	-3.7129E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.0824E+03	 1.1078E+02	-2.4190E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0524E+06	 1.8042E+06	-3.7129E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.0824E+03	 1.1078E+02	-2.4190E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.7959E+05	-4.4324E+06	-1.3520E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 2.3752E+03	-1.6701E+02	-1.0395E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.2683E+05	-2.6905E+06	-3.1925E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.2859E+03	 8.3503E+01	-7.4955E+03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 7.2683E+05	-2.6905E+06	-3.1925E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.2859E+03	 8.3503E+01	-7.4955E+03	 0.0000E+00	 0.0000E+00	 0.0000E+00	-5.7959E+05	-4.4324E+06	-1.3520E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.3752E+03	-1.6701E+02	-1.0395E+04	 0.0000E+00	 0.0000E+00
