
These predictions were generated by SubDyn on 07-Aug-2013 at 14:30:07.

    Time	   ReactXss	   ReactYss	   ReactZss	  ReactMXss	  ReactMYss	  ReactMZss	    IntfXss	    IntfYss	    IntfZss	   IntfMXss	   IntfMYss	   IntfMZss	  IntfTDXss	  IntfTDYss	  IntfTDZss	  IntfRDXss	  IntfRDYss	  IntfRDZss	  IntfTAXss	  IntfTAYss	  IntfTAZss	  IntfRAXss	  IntfRAYss	  IntfRAZss	   M1N1FKze	   M1N1MKxe	   M1N1MKye	     SSqm01	     SSqm02	     SSqm03	    SSqmd01	    SSqmd02	    SSqmd03	   SSqmdd01	   SSqmdd02	   SSqmdd03	   M1J1FKxe	   M1J1FKye	   M1J1FKze	   M1J1MKxe	   M1J1MKye	   M1J1MKze	   M1J1FMxe	   M1J1FMye	   M1J1FMze	   M1J1MMxe	   M1J1MMye	   M1J1MMze	   M1J2FKxe	   M1J2FKye	   M1J2FKze	   M1J2MKxe	   M1J2MKye	   M1J2MKze	   M1J2FMxe	   M1J2FMye	   M1J2FMze	   M1J2MMxe	   M1J2MMye	   M1J2MMze	   M2J1FKxe	   M2J1FKye	   M2J1FKze	   M2J1MKxe	   M2J1MKye	   M2J1MKze	   M2J1FMxe	   M2J1FMye	   M2J1FMze	   M2J1MMxe	   M2J1MMye	   M2J1MMze	   M2J2FKxe	   M2J2FKye	   M2J2FKze	   M2J2MKxe	   M2J2MKye	   M2J2MKze	   M2J2FMxe	   M2J2FMye	   M2J2FMze	   M2J2MMxe	   M2J2MMye	   M2J2MMze	   M3J1FKxe	   M3J1FKye	   M3J1FKze	   M3J1MKxe	   M3J1MKye	   M3J1MKze	   M3J1FMxe	   M3J1FMye	   M3J1FMze	   M3J1MMxe	   M3J1MMye	   M3J1MMze	   M3J2FKxe	   M3J2FKye	   M3J2FKze	   M3J2MKxe	   M3J2MKye	   M3J2MKze	   M3J2FMxe	   M3J2FMye	   M3J2FMze	   M3J2MMxe	   M3J2MMye	   M3J2MMze	   M4J1FKxe	   M4J1FKye	   M4J1FKze	   M4J1MKxe	   M4J1MKye	   M4J1MKze	   M4J1FMxe	   M4J1FMye	   M4J1FMze	   M4J1MMxe	   M4J1MMye	   M4J1MMze	   M4J2FKxe	   M4J2FKye	   M4J2FKze	   M4J2MKxe	   M4J2MKye	   M4J2MKze	   M4J2FMxe	   M4J2FMye	   M4J2FMze	   M4J2MMxe	   M4J2MMye	   M4J2MMze	   M5J1FKxe	   M5J1FKye	   M5J1FKze	   M5J1MKxe	   M5J1MKye	   M5J1MKze	   M5J1FMxe	   M5J1FMye	   M5J1FMze	   M5J1MMxe	   M5J1MMye	   M5J1MMze	   M5J2FKxe	   M5J2FKye	   M5J2FKze	   M5J2MKxe	   M5J2MKye	   M5J2MKze	   M5J2FMxe	   M5J2FMye	   M5J2FMze	   M5J2MMxe	   M5J2MMye	   M5J2MMze

       s	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	       (Nm)	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	       (Nm)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	    (m/s^2)	    (m/s^2)	    (m/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	        (N)	      (N*m)	      (N*m)	       (--)	       (--)	       (--)	      (1/s)	      (1/s)	      (1/s)	    (1/s^2)	    (1/s^2)	    (1/s^2)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)

   0.000	 0.0000E+00	 3.1250E-02	 8.3029E+06	 1.3125E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1181E-01	-2.7407E+06	 3.6600E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.4611E+06	 6.2506E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.1815E+04	-4.4611E+06	 6.2506E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.7389E+04	 3.0961E+05	 8.1281E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.1815E+04	-3.0579E+06	-6.1123E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 2.5220E+04	-6.1922E+05	 1.0480E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 6.1815E+04	-4.4611E+06	-6.2506E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.7389E+04	 3.0961E+05	-8.1281E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	 6.1815E+04	-3.0579E+06	 6.1123E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.5220E+04	-6.1922E+05	-1.0480E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.0524E+06	 2.6979E+06	-5.2712E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.2649E+06	 7.2263E+03	 6.1869E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0524E+06	 2.6979E+06	-5.2712E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.2649E+06	 7.2263E+03	 6.1869E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 7.0116E+05	-5.5343E+06	-3.3237E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-5.6075E+05	 7.7766E+05	 1.9015E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.0526E+05	-3.7924E+06	-2.1250E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.7540E+05	-3.8883E+05	 1.0699E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 6.0526E+05	-3.7924E+06	-2.1250E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.7540E+05	-3.8883E+05	 1.0699E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.0116E+05	-5.5343E+06	-3.3237E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.6075E+05	 7.7766E+05	 1.9015E+06	 0.0000E+00	 0.0000E+00
   0.010	 0.0000E+00	 3.1250E-02	 1.2749E+07	-2.6250E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.3411E-01	 2.5783E+05	 3.0293E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.2661E+06	 1.2882E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.6632E-18	 0.0000E+00	 0.0000E+00	-8.0782E-16	 0.0000E+00	 0.0000E+00	-4.9125E-14	 0.0000E+00	-1.6778E+05	-6.2661E+06	 1.2882E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.0280E+05	-1.0827E+05	-4.8491E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.6778E+05	-4.8629E+06	-2.0674E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.7985E+05	 2.1654E+05	-6.6695E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.6778E+05	-6.2661E+06	-1.2882E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0280E+05	-1.0827E+05	 4.8491E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.6778E+05	-4.8629E+06	 2.0674E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.7985E+05	 2.1654E+05	 6.6695E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.0524E+06	 2.1494E+06	-4.7425E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.2400E+05	 5.4986E+03	 1.2741E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0524E+06	 2.1494E+06	-4.7425E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.2400E+05	 5.4986E+03	 1.2741E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 6.5330E+05	-4.3454E+06	-2.5721E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-9.6330E+04	-2.6198E+05	 6.9047E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.5312E+05	-2.6035E+06	-2.5698E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.1452E+05	 1.3099E+05	 6.4444E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 6.5312E+05	-2.6035E+06	-2.5698E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1452E+05	 1.3099E+05	 6.4444E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.5330E+05	-4.3454E+06	-2.5721E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 9.6330E+04	-2.6198E+05	 6.9047E+05	 0.0000E+00	 0.0000E+00
   0.020	 0.0000E+00	 0.0000E+00	 1.2783E+07	 3.5000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0876E-01	 4.4418E+05	 2.6174E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.4143E+06	 3.4024E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.3320E-17	 0.0000E+00	 0.0000E+00	-7.9124E-16	 0.0000E+00	 0.0000E+00	 3.2118E-14	 0.0000E+00	-4.9053E+05	-6.4143E+06	 3.4024E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-9.1502E+04	 2.2603E+04	 4.3227E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.9053E+05	-5.0111E+06	-6.4083E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.6464E+05	-4.5206E+04	 6.0067E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.9053E+05	-6.4143E+06	-3.4024E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 9.1502E+04	 2.2603E+04	-4.3227E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.9053E+05	-5.0111E+06	 6.4083E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.6464E+05	-4.5206E+04	-6.0067E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.0524E+06	 1.6741E+06	-3.2580E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.2044E+05	-1.2034E+04	-2.6610E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0524E+06	 1.6741E+06	-3.2580E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.2044E+05	-1.2034E+04	-2.6610E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.4700E+05	-4.4400E+06	-8.1272E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 2.1406E+05	 4.1179E+04	-1.0540E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.5941E+05	-2.6981E+06	-3.4678E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.4307E+05	-2.0590E+04	-8.2389E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 7.5941E+05	-2.6981E+06	-3.4678E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.4307E+05	-2.0590E+04	-8.2389E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-5.4700E+05	-4.4400E+06	-8.1272E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.1406E+05	 4.1179E+04	-1.0540E+06	 0.0000E+00	 0.0000E+00
   0.030	 0.0000E+00	 0.0000E+00	 1.3861E+07	 3.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-9.2123E-02	 6.0933E+05	 2.8975E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.9104E+06	 4.0097E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.8618E-17	 0.0000E+00	 0.0000E+00	-2.2378E-16	 0.0000E+00	 0.0000E+00	 6.4980E-14	 0.0000E+00	-5.8543E+05	-6.9104E+06	 4.0097E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.8407E+04	-2.0244E+04	 2.2498E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-5.8543E+05	-5.5072E+06	-7.6988E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 6.1257E+04	 4.0488E+04	 2.7793E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.8543E+05	-6.9104E+06	-4.0097E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.8407E+04	-2.0244E+04	-2.2498E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.8543E+05	-5.5072E+06	 7.6988E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.1257E+04	 4.0488E+04	-2.7793E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.0524E+06	 1.3535E+06	-2.8025E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.9150E+05	 3.4147E+04	-2.8860E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0524E+06	 1.3535E+06	-2.8025E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.9150E+05	 3.4147E+04	-2.8860E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.1146E+05	-4.1892E+06	-2.3621E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 3.2244E+05	-7.8712E+03	-1.3659E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.9496E+05	-2.4473E+06	-3.7800E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.6405E+05	 3.9356E+03	-9.6018E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 7.9496E+05	-2.4473E+06	-3.7800E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.6405E+05	 3.9356E+03	-9.6018E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-5.1146E+05	-4.1892E+06	-2.3621E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.2244E+05	-7.8712E+03	-1.3659E+06	 0.0000E+00	 0.0000E+00
   0.040	 0.0000E+00	 0.0000E+00	 1.3199E+07	 2.7500E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.2119E-01	 1.6673E+05	 2.5910E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.5938E+06	 3.3707E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.7899E-17	 0.0000E+00	 0.0000E+00	 3.2073E-16	 0.0000E+00	 0.0000E+00	 4.1730E-14	 0.0000E+00	-4.8631E+05	-6.5938E+06	 3.3707E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.7756E+04	-5.9216E+03	 8.4646E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.8631E+05	-5.1906E+06	-6.3555E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 3.7296E+04	 1.1843E+04	 1.2480E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.8631E+05	-6.5938E+06	-3.3707E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.7756E+04	-5.9216E+03	-8.4646E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.8631E+05	-5.1906E+06	 6.3555E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.7296E+04	 1.1843E+04	-1.2480E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.0524E+06	 1.6294E+06	-3.2721E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.0227E+05	-1.0722E+04	-5.9226E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0524E+06	 1.6294E+06	-3.2721E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0227E+05	-1.0722E+04	-5.9226E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.4693E+05	-4.3174E+06	-8.1591E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 3.3524E+04	-2.8012E+04	-1.6153E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.5948E+05	-2.5755E+06	-3.4728E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.1586E+04	 1.4006E+04	-1.2455E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 7.5948E+05	-2.5755E+06	-3.4728E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 2.1586E+04	 1.4006E+04	-1.2455E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-5.4693E+05	-4.3174E+06	-8.1591E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.3524E+04	-2.8012E+04	-1.6153E+05	 0.0000E+00	 0.0000E+00
   0.050	 0.0000E+00	 3.1250E-02	 1.2374E+07	 2.7500E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.2458E-01	-3.5110E+05	 2.2884E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.1980E+06	 2.3915E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.3581E-17	 0.0000E+00	 0.0000E+00	 4.6684E-16	 0.0000E+00	 0.0000E+00	-3.4658E-15	 0.0000E+00	-3.3611E+05	-6.1980E+06	 2.3915E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 3.3551E+04	 1.1094E+04	-1.5811E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.3611E+05	-4.7948E+06	-4.3306E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-5.7671E+04	-2.2188E+04	-2.1609E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 3.3611E+05	-6.1980E+06	-2.3915E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.3551E+04	 1.1094E+04	 1.5811E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 3.3611E+05	-4.7948E+06	 4.3306E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.7671E+04	-2.2188E+04	 2.1609E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.0524E+06	 1.9101E+06	-3.9692E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.5435E+05	 1.8336E+02	 1.4905E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0524E+06	 1.9101E+06	-3.9692E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 2.5435E+05	 1.8336E+02	 1.4905E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.9865E+05	-4.5064E+06	-1.6646E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.3364E+05	 2.7772E+04	 5.8820E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.0777E+05	-2.7645E+06	-3.0286E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 7.3120E+04	-1.3886E+04	 4.2594E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 7.0777E+05	-2.7645E+06	-3.0286E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.3120E+04	-1.3886E+04	 4.2594E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-5.9865E+05	-4.5064E+06	-1.6646E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.3364E+05	 2.7772E+04	 5.8820E+05	 0.0000E+00	 0.0000E+00
   0.060	 0.0000E+00	 3.1250E-02	 1.2168E+07	 1.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.2948E-01	-3.0188E+05	 2.3250E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.0893E+06	 2.0733E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-9.8409E-18	 0.0000E+00	 0.0000E+00	 2.3841E-16	 0.0000E+00	 0.0000E+00	-3.1870E-14	 0.0000E+00	-2.8703E+05	-6.0893E+06	 2.0733E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 3.1835E+04	 5.2170E+03	-1.4912E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.8703E+05	-4.6862E+06	-3.6674E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.8420E+04	-1.0434E+04	-1.9532E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 2.8703E+05	-6.0893E+06	-2.0733E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.1835E+04	 5.2170E+03	 1.4912E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 2.8703E+05	-4.6862E+06	 3.6674E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.8420E+04	-1.0434E+04	 1.9532E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.0524E+06	 2.0231E+06	-4.1992E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.4772E+05	-9.7039E+03	 1.4786E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0524E+06	 2.0231E+06	-4.1992E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 2.4772E+05	-9.7039E+03	 1.4786E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 6.1571E+05	-4.5422E+06	-1.9446E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.5045E+05	 9.0647E+02	 6.5878E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.9071E+05	-2.8003E+06	-2.8821E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 8.1531E+04	-4.5324E+02	 4.7522E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 6.9071E+05	-2.8003E+06	-2.8821E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-8.1531E+04	-4.5324E+02	 4.7522E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.1571E+05	-4.5422E+06	-1.9446E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.5045E+05	 9.0647E+02	 6.5878E+05	 0.0000E+00	 0.0000E+00
